url, extension, reason_for_invalidation
https://api.github.com/repos/pallets/werkzeug/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/statsmodels/statsmodels/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/cython/cython/contents/docs/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/gevent/gevent/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/marshmallow-code/marshmallow/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/robotframework/robotframework/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/robinhood/faust/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/rmax/scrapy-redis/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/HypothesisWorks/hypothesis/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/django/channels/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/astorfi/TensorFlow-World/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/michael-lazar/rtv/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/buildbot/buildbot/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/airbnb/knowledge-repo/contents/docs/contributing.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/wireservice/csvkit/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/PyCQA/pycodestyle/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/stephenmcd/mezzanine/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/django-crispy-forms/django-crispy-forms/contents/docs/contributing.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/StackStorm/st2/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/scikit-image/scikit-image/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/NervanaSystems/neon/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/instillai/deep-learning-roadmap/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/ocrmypdf/OCRmyPDF/contents/docs/contributing.rst,rst,contributing is not in Markdown.
